,Name,Fibre Volume Fraction,Material,Test type,"smax,static","smax, fatigue",epsstatic,epsfatigue,Ncycles,Eit,Eic
2922,GEV307_R0400_0042,0.0,GE2,CA,,199.3840149248746,,,956059.0,,
2923,GEV307_R0400_0043,0.0,GE2,CA,,268.58877086494687,,,46507.0,,
2924,GEV307_R0400_0044,0.0,GE2,CA,,269.81647607310384,,,42044.0,,
2925,GEV307_R0400_0045,0.0,GE2,CA,,334.8365950945083,,,7356.0,,
2926,GEV307_R0400_0046,0.0,GE2,CA,,266.5668563535651,,,51634.0,,
2927,GEV307_R0400_0047,0.0,GE2,CA,,327.94117647058823,,,6754.0,,
2928,GEV307_R0400_0048,0.0,GE2,CA,,194.34276439309164,,,1946304.0,,
2929,GEV307_R0400_0049,0.0,GE2,CA,,267.77785528014863,,,64868.0,,
2930,GEV307_R0400_0050,0.0,GE2,CA,,334.8360097186388,,,6408.0,,
2942,GEV307_R0400_0007,0.0,GE2,STT,612.5362987226536,,,,1.0,29.955,28.595
2943,GEV307_R0400_0005,0.0,GE2,STT,634.5207767008715,,,,1.0,27.695,28.595
2944,GEV307_R0400_0001,0.0,GE2,STT,628.731582396483,,,,1.0,28.105,
2945,GEV307_R0400_0019,0.0,GE2,STC,-473.19252025134375,,,,1.0,28.47,28.93
2946,GEV307_R0400_0017,0.0,GE2,STC,-431.9535221496006,,,,1.0,,
2947,GEV307_R0400_0013,0.0,GE2,STC,-424.85037410949764,,,,1.0,28.62,
2948,GEV307_R0400_0011,0.0,GE2,STC,-465.8346690283246,,,,1.0,28.3,28.525
2949,GEV307_R0400_0004,0.0,GE2,STC,-463.9383115123293,,,,1.0,28.155,29.065
2954,GEV207_S3200_0023,51.13,GE1,CA,,282.0448249811131,,,669.0,25.7,
2955,GEV207_S3200_0020,51.13,GE1,CA,,199.24403051858928,,,5229.0,27.165,
2956,GEV207_S3100_0009,53.99,GE1,CA,,236.17693522906794,,,5197.0,31.32,
2957,GEV214_S0700_0004,,GE1,CA,,208.8,,0.73,27482.0,30.33,
2958,GEV214_S0700_0003,,GE1,CA,,307.6101203232639,,1.04,1323.0,32.515,
2959,GEV307_R0400_0022,0.0,GE2,CA,,135.75123300854085,,,886884.0,26.69,26.66
2961,GEV307_R0400_0018,0.0,GE2,CA,,177.95725800692477,,,80680.0,28.025,28.315
2962,GEV307_R0400_0016,0.0,GE2,CA,,186.01156937870934,,,120841.0,29.07,29.195
2963,GEV307_R0400_0014,0.0,GE2,CA,,228.45888724766127,,,12575.0,28.48,28.695
2964,GEV307_R0400_0012,0.0,GE2,CA,,226.98722563135144,,,3227.0,27.925,
2965,GEV307_R0400_0010,0.0,GE2,CA,,179.64875350485346,,,140168.0,26.435,26.79
2966,GEV307_R0400_0009,0.0,GE2,CA,,130.07050977812284,,,4002788.0,28.44,28.665
2967,GEV307_R0400_0008,0.0,GE2,CA,,178.89963037507172,,,135082.0,28.485,28.73
2968,GEV307_R0400_0002,0.0,GE2,CA,,133.5309638992463,,,1861829.0,28.99,29.21
